feature,count_nonnull,mean,std,min,p25,median,p75,max
jockey_te,490,0.08775510204081631,0.13723185571067328,0.0,0.0,0.0,0.1666666666666666,1.0
horse_id_te,490,0.08775510204081632,0.26007533162571894,0.0,0.0,0.0,0.0,1.0
