horse_id,count,te_mean,win_rate
2021100171,1,1.0,1.0
2021100899,1,1.0,1.0
2021101106,1,1.0,1.0
2021101654,1,1.0,1.0
2021102320,1,1.0,1.0
2021102888,1,1.0,1.0
2021102914,1,1.0,1.0
2021102920,1,1.0,1.0
2021103278,1,1.0,1.0
2021103799,1,1.0,1.0
2021104153,1,1.0,1.0
2021105485,1,1.0,1.0
2021105618,1,1.0,1.0
2021105864,1,1.0,1.0
2021105888,1,1.0,1.0
2021106069,1,1.0,1.0
2021107058,1,1.0,1.0
2021110021,1,1.0,1.0
2021110031,1,1.0,1.0
2021110039,1,1.0,1.0
