horse_id,n_races,n_wins,win_rate
2021100171,1,1,1.0
2021100189,1,0,0.0
2021100248,1,0,0.0
2021100284,1,0,0.0
2021100338,1,0,0.0
2021100359,1,0,0.0
2021100429,1,0,0.0
2021100653,1,0,0.0
2021100662,1,0,0.0
2021100683,1,0,0.0
2021100703,1,0,0.0
2021100782,1,0,0.0
2021100792,1,0,0.0
2021100803,1,0,0.0
2021100879,1,0,0.0
2021100899,1,1,1.0
2021101106,1,1,1.0
2021101189,1,0,0.0
2021101279,1,0,0.0
2021101288,1,0,0.0
2021101385,1,0,0.0
2021101580,1,0,0.0
2021101595,1,0,0.0
2021101651,1,0,0.0
2021107369,1,0,0.0
2021103696,1,0,0.0
2021103809,1,0,0.0
2021105555,1,0,0.0
2021105618,1,1,1.0
2021105646,1,0,0.0
2021105801,1,0,0.0
2021105831,1,0,0.0
2021105864,1,1,1.0
2021105871,1,0,0.0
2021105888,1,1,1.0
2021105894,1,0,0.0
2021105901,1,0,0.0
2021105905,1,0,0.0
2021105926,1,0,0.0
2021105937,1,0,0.0
2021105956,1,0,0.0
2021105974,1,0,0.0
2021106069,1,1,1.0
2021106195,1,0,0.0
2021106369,1,0,0.0
2021106372,1,0,0.0
2021106405,1,0,0.0
2021106994,1,0,0.0
2021107058,1,1,1.0
2021107063,1,0,0.0
2021107085,1,0,0.0
2021107098,1,0,0.0
2021107156,1,0,0.0
2021107255,1,0,0.0
2021107336,1,0,0.0
2021103837,1,0,0.0
2021105608,1,0,0.0
2021105540,1,0,0.0
2021104928,1,0,0.0
2021103941,1,0,0.0
2021104137,1,0,0.0
2021104153,1,1,1.0
2021104242,1,0,0.0
2021104401,1,0,0.0
2021104416,1,0,0.0
2021104667,1,0,0.0
2021104724,1,0,0.0
2021104752,1,0,0.0
2021104830,1,0,0.0
2021104896,1,0,0.0
2021105529,1,0,0.0
2021104911,1,0,0.0
2021104941,1,0,0.0
2021105006,1,0,0.0
2021105018,1,0,0.0
2021105039,1,0,0.0
2021105150,1,0,0.0
2021105368,1,0,0.0
2021105373,1,0,0.0
2021105454,1,0,0.0
2021105467,1,0,0.0
2021105485,1,1,1.0
2021105528,1,0,0.0
2022110114,1,0,0.0
2021104840,0,0,
2021103075,0,0,
2021110072,0,0,
2022105718,0,0,
