decile,n,win_rate,te_min,te_max,te_mean
0,300,0.0033333333333333335,0.0,0.1,0.0033333333333333335
1,63,0.12698412698412698,0.1111111111111111,0.1428571428571428,0.12698412698412695
2,30,0.16666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666
3,58,0.22413793103448276,0.2,0.25,0.22413793103448276
4,39,0.41025641025641024,0.2666666666666666,1.0,0.4102564102564102
