race_id,date,distance,weather,num_horses,horse_id,horse_name,rank,FP,pop,odds,time,last3f,weight,sex_age,jockey,venue,surface_type,track_condition,url_jp
202406010409,2024-01-13,1600.0,Cloudy,,2021106655.0,Lotus Wand,12,12,454(-8),11,1:34.9,195.8,55,3F,A.Sugawara,NAKAYAMA,TURF,Gd,https://db.netkeiba.com/race/202406010409/
202406010409,2024-01-13,1600.0,Cloudy,,2021105956.0,London Arms,2,5,438(+4),9,1:33.5,59.6,55,3F,K.Yokoyama,NAKAYAMA,TURF,Gd,https://db.netkeiba.com/race/202406010409/
202406010409,2024-01-13,1600.0,Cloudy,,2021106195.0,Win Dione,3,3,456(0),6,1:33.6,12.4,55,3F,R.Kingscote,NAKAYAMA,TURF,Gd,https://db.netkeiba.com/race/202406010409/
202406010409,2024-01-13,1600.0,Cloudy,,2021105529.0,Lux Noah,4,2,454(-12),5,1:33.6,11.6,55,3F,A.Tsumura,NAKAYAMA,TURF,Gd,https://db.netkeiba.com/race/202406010409/
202406010409,2024-01-13,1600.0,Cloudy,,2021105801.0,Mi Anhelo,5,8,478(0),1,1:33.6,2.4,55,3F,C.Lemaire,NAKAYAMA,TURF,Gd,https://db.netkeiba.com/race/202406010409/
202406010409,2024-01-13,1600.0,Cloudy,,2021103559.0,Omega Wink,6,11,474(+10),4,1:33.7,6.9,55,3F,R.Piechulek,NAKAYAMA,TURF,Gd,https://db.netkeiba.com/race/202406010409/
202406010409,2024-01-13,1600.0,Cloudy,,2021106308.0,Kaito Gut,7,10,462(-4),7,1:33.7,38.2,55,3F,D.Shibata,NAKAYAMA,TURF,Gd,https://db.netkeiba.com/race/202406010409/
202406010409,2024-01-13,1600.0,Cloudy,,2021101289.0,Dino Sunrise,8,1,450(+2),10,1:34.0,82.3,55,3F,R.King,NAKAYAMA,TURF,Gd,https://db.netkeiba.com/race/202406010409/
202406010409,2024-01-13,1600.0,Cloudy,,2021100189.0,Nishino Koigokoro,9,9,424(0),8,1:34.2,59.6,55,3F,Y.Nonaka,NAKAYAMA,TURF,Gd,https://db.netkeiba.com/race/202406010409/
202406010409,2024-01-13,1600.0,Cloudy,,,Horse,FP,PP,Horse Wgt.(kg),Fav,FT,Odds,Wgt.(kg),A&S,Jockey,NAKAYAMA,TURF,Gd,https://db.netkeiba.com/race/202406010409/
202410010309,2024-01-20,1200.0,Rain,,2021100899.0,Big Dream,1,1,522(0),1,1:09.9,1.8,57,3C,H.Yoshida,NAKAYAMA,TURF,Yld,https://db.netkeiba.com/race/202410010309/
202410010309,2024-01-20,1200.0,Rain,,2021103312.0,Lord My Life,2,3,486(0),3,1:10.0,4.1,57,3C,A.Nishimura,NAKAYAMA,TURF,Yld,https://db.netkeiba.com/race/202410010309/
202410010309,2024-01-20,1200.0,Rain,,2021104404.0,Chou Cream,3,2,430(+12),2,1:10.0,3.1,55,3F,H.Miyuki,NAKAYAMA,TURF,Yld,https://db.netkeiba.com/race/202410010309/
202410010309,2024-01-20,1200.0,Rain,,2021109123.0,Yume Kanauken,4,5,410(-2),6,1:10.5,44.1,55,3F,G.Maruyama,NAKAYAMA,TURF,Yld,https://db.netkeiba.com/race/202410010309/
202410010309,2024-01-20,1200.0,Rain,,2021101386.0,Call Me Maybe,5,7,428(-5),7,1:11.4,178.0,55,3F,M.Okabe,NAKAYAMA,TURF,Yld,https://db.netkeiba.com/race/202410010309/
202410010309,2024-01-20,1200.0,Rain,,2021104140.0,Grace Rouge,6,6,406(-14),4,1:11.4,13.8,55,3F,D.Sasaki,NAKAYAMA,TURF,Yld,https://db.netkeiba.com/race/202410010309/
202410010309,2024-01-20,1200.0,Rain,,2021102562.0,Pulp Fiction,7,4,438(0),5,1:11.5,17.0,55,3F,Y.Kitamura,NAKAYAMA,TURF,Yld,https://db.netkeiba.com/race/202410010309/
202410010309,2024-01-20,1200.0,Rain,,,Horse,FP,PP,Horse Wgt.(kg),Fav,FT,Odds,Wgt.(kg),A&S,Jockey,NAKAYAMA,TURF,Yld,https://db.netkeiba.com/race/202410010309/
202408020108,2024-01-27,1600.0,Sunny,,2021101106.0,Smart Spear,1,7,512(+2),3,1:34.3,3.6,57,3C,K.Ogino,TOKYO,TURF,Gd,https://db.netkeiba.com/race/202408020108/
202408020108,2024-01-27,1600.0,Sunny,,2021105160.0,Caelum,2,3,470(+4),1,1:34.5,2.8,57,3C,Y.Take,TOKYO,TURF,Gd,https://db.netkeiba.com/race/202408020108/
